sentence_number,word,tag
1,Are,O
1,you,O
1,guys,O
1,open,O
2,I'll,O
2,take,O
2,a,B-QUANTITY
2,medium,B-SIZE
2,espresso,B-COFFEE-TYPE
2,with,O
2,three,B-QUANTITY
2,sugars,B-ADD-ON
3,If,O
3,you,O
3,have,O
3,any,O
3,more,O
3,cinnamon,B-BAKERY-ITEM
3,rolls,I-BAKERY-ITEM
3,left,O
3,I'll,O
3,take,O
3,one,B-QUANTITY
3,and,O
3,then,O
3,also,O
3,just,O
3,2,B-QUANTITY
3,black,B-COFFEE-TYPE
3,coffees,I-COFFEE-TYPE
4,I,O
4,would,O
4,like,O
4,a,B-QUANTITY
4,regular,B-SIZE
4,iced,B-TEMP
4,latte,B-COFFEE-TYPE
4,with,O
4,one,B-QUANTITY
4,extra,I-QUANTITY
4,espresso,B-ADD-ON
4,shot,I-ADD-ON
5,One,B-QUANTITY
5,regular,B-SIZE
5,latte,B-COFFEE-TYPE
5,light,B-ROAST-TYPE
4,roast,I-ROAST-TYPE
5,with,O
5,an,B-QUANTITY
5,extra,I-QUANTITY
5,espresso,B-ADD-ON
5,shot,I-ADD-ON
5,and,O
5,honey,B-SWEETENER
5,added,O
5,and,O
5,one,B-QUANTITY
5,large,B-SIZE
5,cappuccino,B-COFFEE-TYPE
5,with,O
5,caramel syrup,B-ADD-ON
5,in,O
5,that,O
5,one,O
6,I'll,O
6,have,O
6,a,B-QUANTITY
6,regular,B-SIZE
6,dark,B-ROAST-TYPE
6,roast,I-ROAST-TYPE
6,americano,B-COFFEE-TYPE
6,with,O
6,foam,B-ADD-ON
6,please,O
7,A,B-QUANTITY
7,regular,B-SIZE
7,hot,B-BEVERAGE
7,chocolate,I-BEVERAGE
7,with,O
7,whipped,B-ADD-ON
7,cream,I-ADD-ON
8,Could,O
8,I,O
8,get,O
8,a,B-QUANTITY
8,large,B-SIZE
8,dark,B-ROAST-TYPE
8,roast,I-ROAST-TYPE
8,latte,B-COFFEE-TYPE
8,please,O
9,Large,B-SIZE
9,hot,B-BEVERAGE
9,chocolate,I-BEVERAGE
9,extra,B-QUANTITY
9,whipped,B-ADD-ON
9,cream,I-ADD-ON
10,I,O
10,would,O
10,like,O
10,a,B-QUANTITY
10,regular,B-SIZE
10,iced,B-TEMP
10,cinnamon,B-FLAVOR
10,latte,B-COFFEE-TYPE
10,and,O
10,use,O
10,soy,B-MILK-TYPE
10,milk,I-MILK-TYPE
11,I,O
11,would,O
11,like,O
11,a,B-QUANTITY
11,small,B-SIZE
11,hot,B-BEVERAGE
11,chocolate,I-BEVERAGE
11,please,O
12,I,O
12,would,O
12,like,O
12,2,B-QUANTITY
12,regular,B-SIZE
12,latte,B-COFFEE-TYPE
12,medium,B-ROAST-TYPE
12,roast,I-ROAST-TYPE
12,add,O
12,some,B-QUANTITY
12,cinnamon,B-ADD-ON
12,and,O
12,plenty,B-QUANTITY
12,of,O
12,foam,B-ADD-ON
12,to,O
12,that,O
12,as,O
12,well,O
13,I,O
13,would,O
13,like,O
13,5,B-QUANTITY
13,extra,B-DOUBLE-EXTRA
12,extra,I-DOUBLE-EXTRA
13,black,B-COFFEE-TYPE
13,coffee,I-COFFEE-TYPE
14,I'd,O
14,like,O
14,6,B-QUANTITY
14,large,B-SIZE
14,caramel,B-FLAVOR
14,cappuccino,B-COFFEE-TYPE
15,Can,O
15,I,O
15,get,O
15,a,B-QUANTITY
15,regular,B-SIZE
15,size,I-SIZE
15,americano,B-COFFEE-TYPE
15,please,O
16,May,O
16,I,O
16,please,O
16,have,O
16,a,B-QUANTITY
16,regular,B-SIZE
16,hot,B-TEMP
16,latte,B-COFFEE-TYPE
16,with,O
16,hazelnut,B-ADD-ON
16,syrup,I-ADD-ON
16,and,O
16,an,B-QUANTITY
16,extra,B-QUANTITY
16,espresso,B-ADD-ON
16,shot,I-ADD-ON
17,Large,B-SIZE
17,cappuccino,B-COFFEE-TYPE
17,with,O
17,vanilla,B-ADD-ON
17,syrup,I-ADD-ON
18,Ill,O
18,have,O
18,an,B-QUANTITY
18,extra,B-SIZE
18,large,I-SIZE
18,black,B-COFFEE-TYPE
18,dark,B-ROAST-TYPE
18,roast,I-ROAST-TYPE
18,coffee,B-COFFEE-TYPE
19,I'd,O
19,like,O
19,3,B-QUANTITY
19,large,B-SIZE
19,latte,B-COFFEE-TYPE
19,medium,B-ROAST-TYPE
19,roast,I-ROAST-TYPE
20,Can,O
20,I,O
20,get,O
20,8,B-QUANTITY
20,regular,B-SIZE
20,medium,B-ROAST-TYPE
20,roast,I-ROAST-TYPE
20,espresso,B-COFFEE-TYPE
20,with,O
20,one,B-QUANTITY
20,extra,I-QUANTITY
20,espresso,B-ADD-ON
20,shot,I-ADD-ON
21,Can,O
21,I,O
21,get,O
21,a,B-QUANTITY
21,small,B-SIZE
21,iced,B-TEMP
21,cinnamon,B-FLAVOR
21,cappuccino,B-COFFEE-TYPE
21,with,O
21,an,B-QUANTITY
21,extra,I-QUANTITY
21,espresso,B-ADD-ON
21,shot,I-ADD-ON
21,and,O
21,add,O
21,whipped,B-ADD-ON
21,cream,I-ADD-ON
21,and,O
21,raspberry,B-ADD-ON
21,syrup,I-ADD-ON
21,please,O
22,I,O
22,would,O
22,like,O
22,a,B-QUANTITY
22,small,B-SIZE
22,extra,B-DOUBLE-EXTRA
21,extra,I-DOUBLE-EXTRA
22,black,B-COFFEE-TYPE
22,coffee,I-COFFEE-TYPE
22,with,O
22,one,B-QUANTITY
22,glazed,B-BAKERY-ITEM
22,donut,I-BAKERY-ITEM
23,I,O
23,want,O
23,a,B-QUANTITY
23,large,B-SIZE
23,iced,B-TEMP
23,latte,B-COFFEE-TYPE
23,please,O
24,Could,O
24,I,O
24,please,O
24,get,O
24,a,B-QUANTITY
24,large,B-SIZE
24,iced,B-TEMP
24,latte,B-COFFEE-TYPE
24,with,O
24,one,B-QUANTITY
24,pump,I-QUANTITY
24,of,O
24,caramel,B-ADD-ON
24,syrup,I-ADD-ON
25,Get,O
25,me,O
25,a,B-QUANTITY
25,large,B-SIZE
25,decaf,B-COFFEE-TYPE
25,coffee,I-COFFEE-TYPE
25,in,O
25,french,B-ROAST-TYPE
25,roast,I-ROAST-TYPE
25,and,O
25,top,O
25,it,O
25,off,O
25,with,O
25,whipped,B-ADD-ON
25,cream,I-ADD-ON
26,Large,B-SIZE
26,french,B-FLAVOR
26,vanilla,I-FLAVOR
26,iced,B-TEMP
26,coffee,B-COFFEE-TYPE
26,add,O
26,espresso,B-ADD-ON
27,I,O
27,want,O
27,an,B-QUANTITY
27,extra,B-SIZE
27,large,I-SIZE
27,dark,B-ROAST-TYPE
27,roast,I-ROAST-TYPE
27,latte,B-COFFEE-TYPE
27,with,O
27,vanilla,B-ADD-ON
27,syrup,I-ADD-ON
27,and,O
27,whipped,B-ADD-ON
27,cream,I-ADD-ON
28,Can,O
28,I,O
28,get,O
28,a,B-QUANTITY
28,large,B-SIZE
28,hot,B-BEVERAGE
28,chocolate,I-BEVERAGE
28,with,O
28,whipped,B-ADD-ON
28,cream,I-ADD-ON
28,and,O
28,cinnamon,B-ADD-ON
28,on,O
28,top,O
28,please,O
29,Can,O
29,I,O
29,get,O
29,a,B-QUANTITY
29,regular,B-SIZE
29,french,B-ROAST-TYPE
29,roast,I-ROAST-TYPE
29,iced,B-TEMP
29,cappuccino,B-COFFEE-TYPE
29,with,O
29,hazelnut,B-ADD-ON
29,syrup,I-ADD-ON
29,and,O
29,whipped,B-ADD-ON
29,cream,I-ADD-ON
29,on,O
29,top,O
30,Large,B-SIZE
30,italian,B-ROAST-TYPE
30,roast,I-ROAST-TYPE
30,americano,B-COFFEE-TYPE
30,with,O
30,an,B-QUANTITY
30,egg,B-FOOD-ITEM
30,and,I-FOOD-ITEM
30,cheese,I-FOOD-ITEM
30,croissant,I-FOOD-ITEM
31,Small,B-SIZE
31,extra,B-TEMP
31,hot,I-TEMP
31,extra,B-DOUBLE-EXTRA
31,extra,I-DOUBLE-EXTRA
31,medium,B-ROAST-TYPE
31,roast,I-ROAST-TYPE
31,black,B-COFFEE-TYPE
31,coffee,I-COFFEE-TYPE
32,I,O
32,want,O
32,a,B-QUANTITY
32,large,B-SIZE
32,cold,B-TEMP
32,cappuccino,B-COFFEE-TYPE
32,with,O
32,one,B-QUANTITY
32,extra,I-QUANTITY
32,espresso,B-ADD-ON
32,shot,I-ADD-ON
32,finally,O
32,add,O
32,an,B-QUANTITY
32,egg,B-FOOD-ITEM
32,and,I-FOOD-ITEM
32,cheese,I-FOOD-ITEM
32,bagel,I-FOOD-ITEM
33,Regular,B-SIZE
33,size,I-SIZE
33,coffee,B-COFFEE-TYPE
33,medium,B-ROAST-TYPE
33,roast,I-ROAST-TYPE
33,black,B-COFFEE-TYPE
33,no,B-QUANTITY
33,toppings,B-ADD-ON
34,Can,O
34,I,O
34,have,O
34,an,B-QUANTITY
34,extra,B-SIZE
34,large,I-SIZE
34,medium,B-ROAST-TYPE
34,roast,I-ROAST-TYPE
34,vanilla,B-FLAVOR
34,macchiato,B-COFFEE-TYPE
35,A,B-QUANTITY
35,large,B-SIZE
35,french,B-ROAST-TYPE
35,roast,I-ROAST-TYPE
35,with,O
35,vanilla,B-ADD-ON
35,syrup,I-ADD-ON
35,and,O
35,whipped,B-ADD-ON
35,cream,I-ADD-ON
36,I,O
36,am,O
36,allergic,B-ALLERGIES
36,to,O
36,peanuts,I-ALLERGIES
37,Do,O
37,you,O
37,have,O
37,any,O
37,dairy-free,B-DIETARY-NEEDS
37,options,I-DIETARY-NEEDS
37,I,O
37,have,O
37,4,B-QUANTITY
37,lactose,B-ALLERGIES
37,intolerance,I-ALLERGIES
38,Please,O
38,ensure,O
38,no,B-ALLERGIES
38,gluten,I-ALLERGIES
38,as,O
38,I'm,O
38,celiac,I-ALLERGIES
39,Can,O
39,you,O
39,make,O
39,sure,O
39,it's,O
39,nut-free,B-ALLERGIES
39,I,O
39,have,O
39,severe,B-ALLERGIES
39,allergies,I-ALLERGIES
40,A,B-QUANTITY
40,soy,B-ALLERGIES
40,free_I-ALLERGIES,O
40,latte,B-COFFEE-TYPE
40,please,O
40,I'm,O
40,allergic,B-ALLERGIES
40,to,O
40,soy,I-ALLERGIES
41,Can,O
41,I,O
41,have,O
41,a,B-QUANTITY
41,large,B-SIZE
41,mocha,B-COFFEE-TYPE
41,with,O
41,no,B-SWEETENER
41,sugar,I-SWEETENER
42,Just,O
42,a,B-QUANTITY
42,small,B-SIZE
42,decaf,B-COFFEE-TYPE
42,latte,I-COFFEE-TYPE
42,with,O
42,an,B-QUANTITY
42,extra,I-QUANTITY
42,shot,I-QUANTITY
42,of,O
42,hazelnut,B-ADD-ON
42,syrup,I-ADD-ON
43,Give,O
43,me,O
43,two,B-QUANTITY
43,blueberry,B-BAKERY-ITEM
43,muffins,I-BAKERY-ITEM
44,2,B-QUANTITY
44,double,B-COFFEE-TYPE
44,espresso,I-COFFEE-TYPE
44,and,O
44,a,B-QUANTITY
44,medium,B-SIZE
44,iced,B-TEMP
44,coffee,B-COFFEE-TYPE
45,I'd,O
45,like,O
45,to,O
45,order,O
45,a,B-QUANTITY
45,venti,B-SIZE
45,caramel,B-FLAVOR
45,macchiato,B-COFFEE-TYPE
46,Do,O
46,you,O
46,serve,O
46,gluten-free,B-DIETARY-NEEDS
46,bagels,I-BAKERY-ITEM
46,here,O
47,Let's,O
47,go,O
47,for,O
47,a,B-QUANTITY
47,medium,B-SIZE
47,cappuccino,B-COFFEE-TYPE
47,extra,B-QUANTITY
47,foamy,B-ADD-ON
48,I'll,O
48,have,O
48,a,B-QUANTITY
48,regular,B-SIZE
48,chai,B-BEVERAGE
48,latte,I-BEVERAGE
48,please,O
49,I,O
49,would,O
49,like,O
49,a,B-QUANTITY
49,regular,B-SIZE
49,mocha,B-COFFEE-TYPE
49,latte,I-COFFEE-TYPE
49,with,O
49,caramel,B-ADD-ON
49,syrup,I-ADD-ON
49,and,O
49,whipped,B-ADD-ON
49,cream,I-ADD-ON
50,May,O
50,I'll,O
50,take,O
50,a,B-QUANTITY
50,large,B-SIZE
50,spicy,B-FLAVOR
50,mocha,B-COFFEE-TYPE
50,with,O
50,a,B-QUANTITY
50,pinch,I-QUANTITY
50,of,O
50,chipotle,B-FLAVOR
51,I,O
